linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
160_0001,Вершы,epub,/Alaksiej_Pysin/Adcyniajcie_vokny_-_hrom_pialosnuu.epub,,,«Адчыняйце вокны - гром пялёснуў...»,/Alaksiej_Pysin/Adcyniajcie_vokny_-_hrom_pialosnuu.html
160_0002,Вершы,epub,/Alaksiej_Pysin/Bajcam_nie_sniacca_panteony.epub,,,Байцам не сняцца пантэоны,/Alaksiej_Pysin/Bajcam_nie_sniacca_panteony.html
160_0003,Вершы,epub,/Alaksiej_Pysin/Balada_pra_nacleh.epub,,,Балада пра начлег,/Alaksiej_Pysin/Balada_pra_nacleh.html
160_0004,Вершы,epub,/Alaksiej_Pysin/Daloki_tupat_kananady.epub,,,«Далёкі тупат кананады...»,/Alaksiej_Pysin/Daloki_tupat_kananady.html
160_0005,Вершы,epub,/Alaksiej_Pysin/Josc_na_sviecie_moj_alen.epub,,,«Ёсць на свеце мой алень...»,/Alaksiej_Pysin/Josc_na_sviecie_moj_alen.html
160_0006,Вершы,epub,/Alaksiej_Pysin/Zabyta_mnohaje_u_zycci.epub,,,«Забыта многае ў жыцці...»,/Alaksiej_Pysin/Zabyta_mnohaje_u_zycci.html
160_0007,Вершы,epub,/Alaksiej_Pysin/Ivan-caj.epub,,,Іван-чай,/Alaksiej_Pysin/Ivan-caj.html
160_0008,Вершы,epub,/Alaksiej_Pysin/Luhou_zialonaje_mizbrouje.epub,,,«Лугоў зялёнае міжброўе...»,/Alaksiej_Pysin/Luhou_zialonaje_mizbrouje.html
160_0009,Вершы,epub,/Alaksiej_Pysin/Mahilouskaja_havorka.epub,,,Магілёўская гаворка,/Alaksiej_Pysin/Mahilouskaja_havorka.html
160_0010,Вершы,epub,/Alaksiej_Pysin/Mnie_ekzotyka_ciapier_nie_mila.epub,,,«Мне экзотыка цяпер не міла...»,/Alaksiej_Pysin/Mnie_ekzotyka_ciapier_nie_mila.html
160_0011,Вершы,epub,/Alaksiej_Pysin/Na_zaleznym_kastry_samalota.epub,,,«На жалезным кастры самалёта...»,/Alaksiej_Pysin/Na_zaleznym_kastry_samalota.html
160_0012,Вершы,epub,/Alaksiej_Pysin/Na_sviezym_pni_hlybokija_kruhi.epub,,,«На свежым пні глыбокія кругі...»,/Alaksiej_Pysin/Na_sviezym_pni_hlybokija_kruhi.html
160_0013,Вершы,epub,/Alaksiej_Pysin/Na_schile_dnia_sviatla_jasce_davoli.epub,,,«На схіле дня святла яшчэ даволі...»,/Alaksiej_Pysin/Na_schile_dnia_sviatla_jasce_davoli.html
160_0014,Вершы,epub,/Alaksiej_Pysin/Nie_adcuvaje_les_ziamli.epub,,,«Не адчувае лес зямлі...»,/Alaksiej_Pysin/Nie_adcuvaje_les_ziamli.html
160_0015,Вершы,epub,/Alaksiej_Pysin/Palim_my_marsanskuju_machorku.epub,,,«Палім мы маршанскую махорку...»,/Alaksiej_Pysin/Palim_my_marsanskuju_machorku.html
160_0016,Вершы,epub,/Alaksiej_Pysin/Pronia.epub,,,Проня,/Alaksiej_Pysin/Pronia.html
160_0017,Вершы,epub,/Alaksiej_Pysin/Piac_patronau_u_abojmie.epub,,,«Пяць патронаў у абойме...»,/Alaksiej_Pysin/Piac_patronau_u_abojmie.html
160_0018,Вершы,epub,"/Alaksiej_Pysin/Sady,_jak_bielahrudyja_miadzviedzi.epub",,,"«Сады, як белагрудыя мядзведзі...»","/Alaksiej_Pysin/Sady,_jak_bielahrudyja_miadzviedzi.html"
160_0019,Вершы,djvu,https://files.knihi.com/Knihi/scanned/Pysin.Alen.djvu,,,Ёсць на свеце мой алень: вершы,/Alaksiej_Pysin/Josc_na_sviecie_moj_alen_viersy.html
160_0020,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Pysin_Alaksiej.Vybranyja_tvory_2_1.djvu,,,"Выбраныя творы ў двух тамах, т. 1","/Alaksiej_Pysin/Vybranyja_tvory_u_dvuch_tamach,_t_1.html"
160_0021,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Pysin_Alaksiej.Zbor_tvorau_02_02.djvu,,,"Збор твораў, т.2","/Alaksiej_Pysin/Zbor_tvorau,_t2.html"
