author_id;author_name;author_lifetime;author_born;author_died;author_gender;priority;isNationalPoet;v1;author_wkpd_url;author_other_url;src_knihi_url;src_vershyRu_url;src_other_url;author_poemCount;src_knihi_path
71;Міхась Машара;1902-1976;1902;1976;m;;;;https://be.wikipedia.org/wiki/%D0%9C%D1%96%D1%85%D0%B0%D1%81%D1%8C_%D0%9C%D0%B0%D1%88%D0%B0%D1%80%D0%B0 ;;;;;;
72;Анатоль Вольны;1902-1937;1902;1937;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C_%D0%92%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B;;;;;;
73;Тодар Кляшторны;1903-1937;1903;1937;m;;;;https://be.wikipedia.org/wiki/%D0%A2%D0%BE%D0%B4%D0%B0%D1%80_%D0%9A%D0%BB%D1%8F%D1%88%D1%82%D0%BE%D1%80%D0%BD%D1%8B ;;;;;;
74;Наталля Арсеннева;1903-1997;1903;1997;f;!;;TRUE;https://be.wikipedia.org/wiki/%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%BB%D1%8F_%D0%90%D0%BB%D1%8F%D0%BA%D1%81%D0%B5%D0%B5%D1%9E%D0%BD%D0%B0_%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%BD%D0%B5%D0%B2%D0%B0 ;;https://knihi.com/Natalla_Arsiennieva/;http://vershy.ru/category/natallya-arsenneva;https://belarusy.net/natallya-arsenneva/;;Natalla_Arsiennieva
75;Піліп Пестрак;1903-1978;1903;1978;m;;;;https://be.wikipedia.org/wiki/%D0%9F%D1%96%D0%BB%D1%96%D0%BF_%D0%A1%D1%8F%D0%BC%D1%91%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%9F%D0%B5%D1%81%D1%82%D1%80%D0%B0%D0%BA ;;;;;;
76;Мікола Хведаровіч;1904-1981;1904;1981;m;;;;https://be.wikipedia.org/wiki/%D0%9C%D1%96%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A5%D0%B2%D0%B5%D0%B4%D0%B0%D1%80%D0%BE%D0%B2%D1%96%D1%87 ;;;;;;
77;Паўлюк Трус;1904-1929;1904;1929;m;;;;https://be.wikipedia.org/wiki/%D0%9F%D0%B0%D1%9E%D0%BB%D1%8E%D0%BA_%D0%A2%D1%80%D1%83%D1%81 ;;;;;;
78;Адам Русак;1904-1987;1904;1987;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC_%D0%93%D0%B5%D1%80%D0%B0%D1%81%D1%96%D0%BC%D0%B0%D0%B2%D1%96%D1%87_%D0%A0%D1%83%D1%81%D0%B0%D0%BA ;;https://knihi.com/Adam_Rusak/;http://vershy.ru/category/natallya-arsenneva;;;Adam_Rusak
79;Алесь Дудар;1904-1937;1904;1937;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%81%D1%8C_%D0%94%D1%83%D0%B4%D0%B0%D1%80 ;;;;;;
80;Уладзімір Хадыка;1905-1940;1905;1940;m;;;;https://be.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B0%D0%B4%D0%B7%D1%96%D0%BC%D1%96%D1%80_%D0%9C%D0%B0%D1%80%D1%86%D1%96%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%A5%D0%B0%D0%B4%D1%8B%D0%BA%D0%B0 ;;;;;;
81;Алесь Вечар;1905-1985;1905;1985;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D1%8F%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D1%86%D1%8F%D0%BF%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%92%D0%B5%D1%87%D0%B0%D1%80 ;;;;;;
82;Юрка Гаўрук;1905-1979;1905;1979;m;;;;https://be.wikipedia.org/wiki/%D0%AE%D1%80%D0%BA%D0%B0_%D0%93%D0%B0%D1%9E%D1%80%D1%83%D0%BA ;;;;;;
83;Пятрусь Броўка;1905-1980;1905;1980;m;!!!;TRUE;TRUE;https://be.wikipedia.org/wiki/%D0%9F%D1%8F%D1%82%D1%80%D1%83%D1%81%D1%8C_%D0%91%D1%80%D0%BE%D1%9E%D0%BA%D0%B0 ;;https://knihi.com/Piatrus_Brouka/;http://vershy.ru/category/pyatrus-bro%D1%9Eka;;;Piatrus_Brouka
84;Пятро Глебка;1905-1969;1905;1969;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%9F%D1%8F%D1%82%D1%80%D0%BE_%D0%93%D0%BB%D0%B5%D0%B1%D0%BA%D0%B0 ;;https://knihi.com/Piatro_Hlebka/;http://vershy.ru/category/pyatro-glebka;;;Piatro_Hlebka
85;Янка Бобрык;1905-1942;1905;1942;m;;;;https://be.wikipedia.org/wiki/%D0%AF%D0%BD%D0%BA%D0%B0_%D0%91%D0%BE%D0%B1%D1%80%D1%8B%D0%BA ;;;;;;
86;Віктар Казлоўскі;;;;m;;;;;;;;;;
87;Янка Туміловіч;1905-1938;1905;1938;m;;;;https://be.wikipedia.org/wiki/%D0%AF%D0%BD%D0%BA%D0%B0_%D0%A2%D1%83%D0%BC%D1%96%D0%BB%D0%BE%D0%B2%D1%96%D1%87 ;;;;;;
88;Міхась Васілёк;1905-1960;1905;1960;m;;;;https://be.wikipedia.org/wiki/%D0%9C%D1%96%D1%85%D0%B0%D1%81%D1%8C_%D0%92%D0%B0%D1%81%D1%96%D0%BB%D1%91%D0%BA ;;;;;;
89;Ізраіль Плаўнік;;;;m;;;;;;;;;;
90;Андрэй Александровіч;1906-1963;1906;1963;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%8D%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D1%96%D1%87 ;;;;;;
91;Сяргей Фамін;1906-1941;1906;1941;m;;;;https://be.wikipedia.org/wiki/%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%A3%D0%BB%D0%B0%D0%B4%D0%B7%D1%96%D0%BC%D1%96%D1%80%D0%B0%D0%B2%D1%96%D1%87_%D0%A4%D0%B0%D0%BC%D1%96%D0%BD ;;;;;;
92;Сяргей Новік-Пяюн;1906-1994;1906;1994;m;;;;https://be.wikipedia.org/wiki/%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%9D%D0%BE%D0%B2%D1%96%D0%BA-%D0%9F%D1%8F%D1%8E%D0%BD ;;;;;;
93;Алесь Салагуб;1906-1934;1906;1934;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%81%D1%8C_%D0%A1%D0%B0%D0%BB%D0%B0%D0%B3%D1%83%D0%B1 ;;;;;;
94;Алесь Звонак;1907-1996;1907;1996;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%81%D1%8C_%D0%97%D0%B2%D0%BE%D0%BD%D0%B0%D0%BA ;;https://knihi.com/Ales_Zvonak/;http://vershy.ru/category/ales-zvonak;;;Ales_Zvonak
95;Сяргей Дзяргай;1907-1980;1907;1980;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D1%86%D1%8F%D0%BF%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%94%D0%B7%D1%8F%D1%80%D0%B3%D0%B0%D0%B9 ;;https://knihi.com/Siarhiej_Dziarhaj/;http://vershy.ru/category/syargei-dzyargai;;;Siarhiej_Dziarhaj
96;Раман Сабаленка;1907-1975;1907;1975;m;;;;https://be.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BC%D0%B0%D0%BD_%D0%9A%D0%B0%D1%80%D0%BF%D0%B0%D0%B2%D1%96%D1%87_%D0%A1%D0%B0%D0%B1%D0%B0%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0 ;;;;;;
97;Станіслаў Шушкевіч;1908-1991;1908;1991;m;;;;https://be.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D0%BD%D1%96%D1%81%D0%BB%D0%B0%D1%9E_%D0%9F%D1%8F%D1%82%D1%80%D0%BE%D0%B2%D1%96%D1%87_%D0%A8%D1%83%D1%88%D0%BA%D0%B5%D0%B2%D1%96%D1%87 ;;;;;;
98;Яўгенія Пфляўмбаўм;1908-1996;1908;1996;f;;;;https://be.wikipedia.org/wiki/%D0%AF%D1%9E%D0%B3%D0%B5%D0%BD%D1%96%D1%8F_%D0%AD%D1%80%D0%B3%D0%B0%D1%80%D0%B4%D0%B0%D1%9E%D0%BD%D0%B0_%D0%9F%D1%84%D0%BB%D1%8F%D1%9E%D0%BC%D0%B1%D0%B0%D1%9E%D0%BC ;;;;;;
99;Алесь Мілюць;1908-1944;1908;1944;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%81%D1%8C_%D0%9C%D1%96%D0%BB%D1%8E%D1%86%D1%8C ;;;;;;
